offset,count
0,2008
16777216,1692
33554432,0
50331648,714
67108864,0
83886080,714
100663296,0
117440512,361
134217728,0
150994944,0
167772160,0
184549376,0
201326592,0
218103808,0
234881024,0
251658240,84
268435456,0
285212672,714
301989888,0
318767104,361
335544320,0
352321536,361
369098752,0
385875968,206
402653184,0
419430400,0
436207616,0
452984832,0
469762048,0
486539264,0
503316480,0
520093696,50
536870912,0
553648128,0
570425344,0
587202560,0
603979776,0
620756992,0
637534208,0
654311424,0
671088640,0
687865856,0
704643072,0
721420288,0
738197504,0
754974720,0
771751936,0
788529152,0
805306368,0
822083584,0
838860800,0
855638016,84
872415232,0
889192448,0
905969664,0
922746880,50
939524096,0
956301312,0
973078528,0
989855744,0
1006632960,0
1023410176,0
1040187392,0
1056964608,14
1073741824,0
1090519040,0
1107296256,0
1124073472,0
1140850688,0
1157627904,0
1174405120,0
1191182336,0
1207959552,0
1224736768,0
1241513984,0
1258291200,0
1275068416,0
1291845632,0
1308622848,0
1325400064,0
1342177280,0
1358954496,0
1375731712,0
1392508928,0
1409286144,0
1426063360,84
1442840576,0
1459617792,50
1476395008,0
1493172224,0
1509949440,0
1526726656,0
1543503872,0
1560281088,0
1577058304,0
1593835520,14
1610612736,0
1627389952,0
1644167168,0
1660944384,0
1677721600,0
1694498816,0
1711276032,0
1728053248,0
1744830464,0
1761607680,0
1778384896,0
1795162112,0
1811939328,0
1828716544,0
1845493760,0
1862270976,0
1879048192,0
1895825408,0
1912602624,0
1929379840,0
1946157056,0
1962934272,0
1979711488,0
1996488704,14
2013265920,0
2030043136,0
2046820352,0
2063597568,0
2080374784,0
2097152000,0
2113929216,0
2130706432,5
2147483648,0
2164260864,0
2181038080,0
2197815296,0
2214592512,0
2231369728,0
2248146944,0
2264924160,0
2281701376,0
2298478592,0
2315255808,0
2332033024,0
2348810240,0
2365587456,0
2382364672,0
2399141888,0
2415919104,0
2432696320,0
2449473536,0
2466250752,0
2483027968,0
2499805184,0
2516582400,0
2533359616,0
2550136832,0
2566914048,0
2583691264,0
2600468480,0
2617245696,0
2634022912,0
2650800128,0
2667577344,0
2684354560,0
2701131776,0
2717908992,0
2734686208,0
2751463424,0
2768240640,0
2785017856,0
2801795072,0
2818572288,0
2835349504,0
2852126720,0
2868903936,0
2885681152,0
2902458368,0
2919235584,0
2936012800,0
2952790016,0
2969567232,0
2986344448,0
3003121664,0
3019898880,0
3036676096,0
3053453312,0
3070230528,0
3087007744,0
3103784960,0
3120562176,0
3137339392,0
3154116608,0
3170893824,0
3187671040,0
3204448256,0
3221225472,0
3238002688,0
3254779904,0
3271557120,0
3288334336,0
3305111552,0
3321888768,0
3338665984,0
3355443200,0
3372220416,0
3388997632,0
3405774848,0
3422552064,0
3439329280,0
3456106496,0
3472883712,0
3489660928,0
3506438144,0
3523215360,0
3539992576,0
3556769792,0
3573547008,0
3590324224,0
3607101440,0
3623878656,0
3640655872,0
3657433088,0
3674210304,0
3690987520,0
3707764736,0
3724541952,0
3741319168,0
3758096384,0
3774873600,0
3791650816,0
3808428032,0
3825205248,0
3841982464,0
3858759680,0
3875536896,0
3892314112,0
3909091328,0
3925868544,0
3942645760,0
3959422976,0
3976200192,0
3992977408,0
4009754624,0
4026531840,0
4043309056,0
4060086272,0
4076863488,0
4093640704,0
4110417920,0
4127195136,0
4143972352,0
4160749568,0
4177526784,0
4194304000,0
4211081216,0
4227858432,0
4244635648,0
4261412864,0
4278190080,1

