INDEX,COUNT
1,65535
2,98303
3,212991
4,352255
5,466943
6,987135
7,1144831
8,1259519
9,1398783
10,1513471
11,2033663
12,3355647
13,3609599
14,4129791
15,5592575
16,5707263
17,6227455
18,7803391
19,8323583
20,16711935
21,16875391
22,16990079
23,17129343
24,17244031
25,17764223
26,17921919
27,18036607
28,18175871
29,18290559
30,18810751
31,20132735
32,20386687
33,20906879
34,22369663
35,22484351
36,23004543
37,24580479
38,25100671
39,50544447
40,50798399
41,51318591
42,51590975
43,51844927
44,52365119
45,53687103
46,53941055
47,54461247
48,84238175
49,84352863
50,84873055
51,85284703
52,85399391
53,85919583
54,89478495
55,89593183
56,90113375
57,117907231
58,118427423
59,118953759
60,119473951
61,252645135
62,286357367
63,286472055
64,286611319
65,286726007
66,288568183
67,288822135
68,290805111
69,290919799
70,293015927
71,320026423
72,320280375
73,322122551
74,322376503
75,353720151
76,353834839
77,357913943
78,358028631
79,387389207
80,858993459
81,1431655765
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
